Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-12-22;37,00;4,00;8,00;12,00;12,00;54,27;17,27;0,00;12,33;92,50;6,17;0,00;16,00;4,00;4,00;24,00;4,00;24,00;0,00;4,44;148,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;20,00;4,00;12,00;8,00;16,00;42,50;20,00;0,00;6,67;66,67;0,00;12,00;4,00;4,00;0,00;16,00;4,00;8,00;4,00;0,00;141,43;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00
2020-01-05;22,00;4,00;15,00;7,00;33,00;95,33;14,67;7,33;22,00;73,33;7,33;7,00;4,00;7,00;0,00;7,00;4,00;15,00;11,00;0,00;36,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;34,00;0,00;10,00;10,00;23,00;94,71;19,43;13,60;20,40;40,80;6,80;3,00;7,00;0,00;3,00;10,00;3,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;37,00;13,00;24,00;7,00;17,00;155,40;27,13;12,33;24,67;80,17;6,17;3,00;7,00;3,00;0,00;17,00;7,00;27,00;3,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;31,00;3,00;17,00;7,00;31,00;104,92;21,46;6,20;18,60;24,80;6,20;10,00;7,00;3,00;3,00;10,00;3,00;45,00;3,00;0,00;2,95;0,00;4,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;28,00;0,00;31,00;10,00;21,00;98,00;21,00;7,00;21,00;70,00;14,00;17,00;0,00;7,00;7,00;10,00;0,00;10,00;3,00;0,00;2,95;0,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;49,00;7,00;17,00;14,00;17,00;78,40;22,05;14,00;28,00;49,00;7,00;7,00;0,00;3,00;0,00;0,00;3,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;17,00;10,00;10,00;7,00;17,00;114,14;31,57;5,67;11,33;56,67;5,67;0,00;3,00;3,00;14,00;14,00;0,00;21,00;0,00;0,00;2,83;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;24,00;0,00;17,00;10,00;17,00;72,00;26,40;6,00;12,00;36,00;6,00;7,00;3,00;0,00;3,00;7,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2020-03-01;26,00;3,00;23,00;10,00;13,00;44,91;23,64;6,50;19,50;52,00;6,50;10,00;0,00;0,00;7,00;3,00;0,00;10,00;3,00;0,00;2,89;0,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;36,00;0,00;13,00;20,00;10,00;26,40;9,60;6,00;6,00;36,00;6,00;10,00;0,00;7,00;3,00;13,00;0,00;3,00;0,00;0,00;2,88;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;25,00;3,00;3,00;13,00;6,00;27,27;9,09;6,25;6,25;18,75;3,13;13,00;6,00;0,00;3,00;0,00;3,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;3,00;3,00;6,00;0,00;0,00;27,00;3,00;3,00;6,00;12,00;0,00;15,00;0,00;3,00;0,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;9,00;3,00;0,00;3,00;9,00;22,50;9,00;0,00;4,50;18,00;0,00;3,00;15,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;10,00;6,00;13,00;0,00;10,00;70,00;2,50;5,00;30,00;10,00;5,00;13,00;13,00;3,00;0,00;26,00;0,00;3,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;3,00;0,00;12,00;3,00;0,00;45,00;3,00;6,00;6,00;12,00;3,00;0,00;9,00;3,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;0,00;3,00;15,00;0,00;9,00;19,00;0,00;0,50;0,50;2,00;0,00;0,00;6,00;3,00;0,00;0,00;3,00;6,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;9,00;3,00;12,00;0,00;9,00;33,75;2,25;0,00;18,00;18,00;4,50;3,00;6,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00
2020-05-03;9,00;3,00;6,00;0,00;3,00;49,50;4,50;0,00;18,00;27,00;0,00;6,00;3,00;3,00;0,00;6,00;0,00;0,00;3,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00
2020-05-10;0,00;3,00;6,00;0,00;3,00;14,00;0,00;0,50;2,00;4,00;0,00;9,00;6,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;13,00;3,00;6,00;0,00;0,00;44,20;13,00;6,50;6,50;13,00;0,00;3,00;3,00;0,00;0,00;6,00;10,00;6,00;3,00;2,89;2,89;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;10,00;3,00;10,00;0,00;16,00;90,00;0,00;5,00;10,00;40,00;5,00;3,00;3,00;3,00;0,00;10,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-31;9,00;6,00;12,00;0,00;18,00;40,50;18,00;4,50;9,00;63,00;4,50;3,00;0,00;0,00;0,00;6,00;3,00;15,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
